OT,schedule_day
5,23
6,23
4,23
7,23
5,23
7,23
5,24
5,24
7,25
4,25
5,25
MRI,25
4,25
4,25
4,25
5,0
6,0
9,2
4,4
5,4
4,4
5,7
6,7
9,7
7,8
5,8
5,8
9,9
10,9
9,9
5,10
5,10
5,10
7,14
5,14
6,14
9,14
7,14
9,14
7,15
5,15
9,16
9,16
4,18
4,18
5,21
9,21
6,21
2,22
5,22
5,22
5,22
5,22
5,23
5,23
4,25
4,25
5,0
6,0
5,2
9,2
8,2
10,2
5,2
7,2
4,4
5,4
4,4
5,7
9,7
7,8
10,8
3,8
3,8
5,8
9,9
10,9
10,9
6,9
8,9
9,9
10,9
5,10
5,10
7,14
5,14
6,14
9,14
7,14
9,14
5,15
5,15
9,16
9,16
7,16
7,16
10,17
5,18
4,18
4,18
4,18
5,21
9,21
6,21
5,22
5,22
5,22
5,23
5,23
7,23
5,24
4,25
4,25
4,25
4,25
5,0
6,0
2,1
2,1
5,2
9,2
8,2
4,2
5,2
7,2
4,4
5,4
5,4
4,4
4,4
5,7
6,7
9,7
7,8
3,8
3,8
5,8
9,9
8,9
9,9
5,10
5,10
7,14
6,14
9,14
7,14
9,14
5,15
5,15
8,16
9,16
8,16
9,16
7,16
7,16
4,18
4,18
4,18
5,21
9,21
6,21
5,22
5,23
5,23
6,23
7,23
7,23
5,24
5,24
4,25
4,25
4,25
4,25
5,0
6,0
9,2
4,4
4,4
5,7
6,7
7,8
5,8
5,8
9,9
8,9
9,9
7,14
5,14
6,14
9,14
7,14
9,14
7,15
5,15
9,16
5,17
4,18
4,18
5,21
9,21
6,21
5,22
5,23
5,23
9,23
6,23
7,23
7,23
4,25
4,25
5,0
6,0
9,2
5,2
5,4
4,4
4,4
5,7
6,7
9,7
7,8
3,8
3,8
5,8
9,9
10,9
10,9
8,9
9,9
5,10
9,14
9,14
5,15
5,16
6,16
9,16
9,16
5,18
4,18
4,18
5,21
9,21
6,21
5,22
5,22
9,23
5,23
5,23
6,23
7,23
7,23
5,24
4,25
5,25
4,25
4,25
4,25
5,0
6,0
9,2
4,4
5,7
6,7
7,8
5,8
2,8
5,8
8,9
5,10
7,14
5,14
9,14
7,14
9,14
7,15
5,15
5,15
5,15
5,16
9,16
7,16
7,16
5,17
5,17
4,18
5,21
9,21
6,21
5,22
5,22
5,23
5,23
6,23
7,23
7,23
4,25
4,25
4,25
4,25
6,0
5,2
9,2
8,2
5,2
7,2
4,4
5,4
4,4
5,7
6,7
9,7
7,8
3,8
9,9
10,9
10,9
8,9
9,9
10,9
5,14
9,14
7,14
9,14
7,15
5,15
9,16
9,16
7,16
10,17
4,18
4,18
4,18
5,21
9,21
6,21
5,22
5,22
9,23
5,23
5,23
6,23
7,23
5,23
7,23
5,24
7,25
4,25
5,25
4,25
4,25
4,25
